level_0,index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
85915,25915,8.245448,1.0696288,0.3082442,8.553958,0.5444237,47.99622,102.963745,0.99107426,3.7529244,1.6263593,11.91921,3.0
160937,40937,11.116896,1.4980283,0.29535314,4.511794,0.0631131,8.25494,179.75395,1.0022914,2.9008183,1.7505308,13.325149,4.0
61508,1508,8.450324,0.94850695,0.25833586,7.668017,0.28877136,64.18262,258.04514,0.99369365,2.870722,1.6336902,12.220562,8.0
86589,26589,14.872544,1.060595,0.9671093,4.383509,0.20602933,45.940273,268.66272,0.99745625,3.2683988,0.3740332,11.494769,7.0
12287,12287,13.555627,1.2124225,0.7241808,9.436988,0.3961786,34.868042,162.53058,0.99468315,3.530383,1.3011674,12.176147,8.0
108817,48817,10.128022,1.3258542,0.46214044,9.9163685,0.37942708,50.939945,119.613976,0.99321204,3.3201416,1.4738537,11.7346325,3.0
124308,4308,10.132305,1.3392044,0.37046796,8.860146,0.06526984,4.752752,58.613148,1.0025777,3.2070625,1.5355948,12.7009,4.0
100629,40629,11.096971,0.8032842,0.9329179,2.2479365,0.35708743,45.200935,262.0311,0.99237484,3.291178,0.49737507,9.331349,4.0
166162,46162,11.737889,1.0077604,0.232434,10.886777,0.37648082,38.106647,47.75374,0.99682933,3.5498579,1.5182732,13.788795,5.0
46880,46880,9.2135725,0.75825185,0.24631391,9.786907,0.3178739,39.66276,107.075264,0.99540156,3.2053006,1.0959338,11.457649,3.0
73973,13973,8.895125,0.30449978,0.75063473,4.3750067,0.49177957,28.56035,145.57928,0.9953831,3.718032,0.93553066,9.996726,5.0
76204,16204,13.813274,1.2214093,0.9555872,3.2158792,0.39894873,41.28211,252.24295,0.9926871,3.635289,0.7379089,10.9584,4.0
21321,21321,15.48464,1.1524065,0.8821918,10.345664,0.13587576,29.6738,145.0685,1.0000205,3.650509,0.65511215,13.41482,8.0
43339,43339,12.2174835,1.5655675,0.46887156,9.447392,0.41064578,27.493118,36.95731,0.9948073,3.8441985,1.825028,14.408696,3.0
62553,2553,13.46266,1.2626089,0.9885698,3.3988545,0.36060092,17.940636,244.90448,0.9957523,3.9309046,0.5309345,9.769412,4.0
59980,59980,14.166196,0.8526732,0.18941787,13.090766,0.2589143,54.83005,42.92315,0.9945073,3.594112,1.0881696,13.019872,3.0
68768,8768,11.315166,0.960664,0.848357,5.2370014,0.18172939,30.167608,217.26872,0.999076,3.457543,0.4856074,9.971626,3.0
93899,33899,11.288177,1.2622056,0.80436474,11.118038,0.12512416,15.452087,112.56047,1.0014181,3.0660799,0.76148045,10.513841,3.0
72500,12500,8.477938,0.50190175,0.7828184,5.431278,0.5634918,40.70231,146.86818,0.9918939,3.8086584,1.3707438,9.805081,3.0
3387,3387,11.934391,1.5094669,0.98528856,3.3857608,0.30531162,13.836615,245.68509,0.9982975,3.5100904,0.80399096,10.310896,4.0
4992,4992,9.472895,1.1732801,0.26383507,9.425764,0.4966145,41.654903,60.145454,0.99300796,3.6372366,1.5301223,12.9676075,3.0
140037,20037,12.577422,0.13983431,0.92889273,10.150284,0.542249,68.80769,282.37943,0.99084514,3.2413583,0.36338833,8.643142,6.0
62960,2960,12.832016,1.4505059,0.8742086,7.885579,0.24534865,24.18659,206.44492,0.99871075,3.1596706,1.2170609,12.682718,4.0
47508,47508,11.374858,0.7699537,0.20479606,14.367578,0.23476066,56.494926,219.03973,0.9926729,3.2608976,1.14363,10.009014,8.0
90638,30638,9.38763,0.5401821,0.6980644,12.229167,0.18946072,27.76746,247.17354,1.0009335,2.9342053,0.6383094,10.591077,8.0
13780,13780,11.898652,0.724875,0.7650728,8.447749,0.35274473,36.40048,172.42995,0.9994684,3.2090113,0.5837696,11.696253,7.0
11129,11129,12.20398,0.40292364,0.31325498,11.153322,0.11355752,40.631878,118.386795,0.9985199,3.4611988,0.682436,11.55578,6.0
75667,15667,10.680386,0.3440338,0.5812414,7.3265104,0.50545007,55.947254,127.524155,0.9934929,3.6400762,0.9036754,10.585444,6.0
46879,46879,9.219675,1.3014513,0.46827668,2.9397607,0.28696454,13.942841,111.61337,0.998983,3.37415,1.605185,12.371975,4.0
35028,35028,12.923367,0.3347855,0.30225804,9.2085905,0.3435977,66.42124,148.32108,0.9937765,3.4469926,0.67581385,11.055875,6.0
113444,53444,9.97296,1.0576913,0.612951,11.20707,0.2495154,21.241375,113.27192,0.99862975,3.4693065,1.3188715,11.933327,3.0
120999,999,8.515381,0.9307753,0.29895,9.656923,0.13106945,9.077261,66.34376,1.0014719,3.221687,1.3312118,11.979741,3.0
158575,38575,10.303114,1.3627008,0.6260211,7.5338974,0.07464105,8.508001,56.426285,1.0021377,3.2884188,1.2472339,11.68902,3.0
91878,31878,9.151472,0.73383737,0.40645748,6.3960238,0.35429943,37.737926,100.29333,0.99700296,3.2283864,0.9964218,11.565779,3.0
111271,51271,7.797023,0.81150734,0.4717267,12.879502,0.2420974,25.948032,164.5123,0.9967938,3.3682125,1.266992,10.021201,5.0
16436,16436,9.30676,0.52182823,0.23044358,13.007546,0.3402657,53.289425,143.69202,0.99530035,3.0547178,1.0621678,11.026829,7.0
22859,22859,8.25005,1.1823957,0.23953742,4.9966516,0.39044258,23.289986,75.92397,0.99618983,3.5022745,1.6622322,12.697013,3.0
108507,48507,11.883426,0.6631437,0.5085573,9.944749,0.1597269,40.770294,149.80168,0.99956846,2.9568172,0.61909646,11.259588,6.0
12610,12610,10.901573,0.8165117,0.16472058,6.2737236,0.051995624,10.421762,183.20314,1.002183,3.2830474,0.9209227,12.436047,5.0
11819,11819,9.899103,0.511822,0.65115035,12.7953415,0.30471757,42.35314,184.2106,0.9986137,2.948005,0.6660713,10.167249,7.0
60102,102,12.016124,1.0714632,0.91729313,6.2012234,0.47428104,25.58926,148.83586,0.9949952,3.6590636,0.83397245,10.465107,3.0
29542,29542,9.2655735,0.48134044,0.18466336,8.676922,0.46131042,57.865395,72.75302,0.9932115,3.6215265,1.2165251,11.744715,3.0
14604,14604,9.01476,1.4762756,0.67103267,2.7300858,0.14418076,12.69587,178.40729,0.9992201,3.3201058,1.0802763,12.671551,7.0
148845,28845,10.29036,0.91637033,0.7386172,7.1094985,0.4425624,28.93006,143.74646,0.9947779,3.7207987,1.1325661,11.381611,3.0
178483,58483,8.815071,1.0747384,0.50016963,8.954036,0.15328735,13.335464,70.83202,0.9995508,3.1294978,1.3763976,11.441518,4.0
42159,42159,7.37294,0.46348616,0.322763,8.136723,0.33285484,35.05932,170.21202,0.99652714,3.1170526,1.2866429,11.506122,5.0
7099,7099,8.32423,0.72489536,0.25048044,5.5019784,0.3224199,27.863419,104.325035,0.99731463,3.4175317,1.3934628,11.775608,5.0
43691,43691,8.047684,1.3266764,0.6216644,3.711702,0.14780252,7.437551,186.96704,1.0011584,3.310027,1.1359669,11.854204,4.0
163462,43462,10.168329,0.7920556,0.371933,8.855851,0.28079277,26.496227,71.59414,0.9977711,3.1828063,1.291688,12.371402,4.0
82460,22460,8.665461,0.8242629,0.1567882,10.727316,0.484223,63.436916,61.56814,0.993241,3.7119796,1.840199,12.776241,3.0
40679,40679,11.394488,0.38092613,0.43049064,11.667524,0.21787053,35.230602,104.99813,0.9985597,3.3597522,0.9483508,11.686214,5.0
131580,11580,11.2821865,0.89326817,0.42481816,7.7786784,0.28332564,51.20433,156.1801,0.9948446,3.113821,0.9037445,11.269551,7.0
159877,39877,12.180406,0.3835992,0.5758632,7.362982,0.49680227,65.23024,196.12029,0.9918887,3.5120878,0.6983399,10.13274,6.0
30019,30019,9.681116,0.80586237,0.292259,6.619856,0.10940301,9.310335,146.9842,1.0010115,3.28675,1.0587255,11.204745,5.0
20040,20040,10.749077,0.73965883,0.38498846,6.8932433,0.28834933,37.13142,92.39702,0.99847853,3.3982346,1.3993502,12.732599,3.0
18936,18936,9.306234,0.50250053,0.5296863,6.136036,0.4648827,62.430206,165.41481,0.99376756,3.5718083,1.4093596,11.132695,5.0
102147,42147,11.455082,0.44353166,0.8609632,10.7703495,0.53173244,42.396957,167.99026,0.9932895,3.4751406,1.112517,11.036243,5.0
115993,55993,12.808648,1.0831186,0.9755782,6.7769876,0.42299393,33.158302,255.76706,0.9936064,3.8014834,0.56757736,9.315659,4.0
154933,34933,10.327704,1.3510488,0.72657126,8.721373,0.2074096,8.185044,47.289604,1.0004153,3.4097812,1.4420878,12.686306,3.0
36725,36725,9.32878,1.0173738,0.15335739,10.467965,0.37698883,41.48078,46.229084,0.9933268,3.524457,1.5275772,12.274517,3.0
62220,2220,13.938553,0.78776413,0.9052539,2.622088,0.4481134,61.372005,267.0715,0.9908983,3.6311617,0.44550446,9.007304,4.0
58455,58455,7.8812513,0.92024434,0.5108598,7.578271,0.5015246,39.617332,130.50948,0.99241304,3.2061043,1.4704288,12.126356,7.0
168198,48198,12.689799,1.2442706,0.90501285,4.7872586,0.27385595,30.122423,198.65488,0.9977483,3.5831156,0.6815792,11.333544,3.0
1924,1924,9.971005,1.0051711,0.19855906,7.898294,0.31093347,39.826183,67.125946,0.99725175,3.6060696,1.6885297,13.016109,3.0
17313,17313,8.492112,0.3914994,0.39774117,6.8863826,0.58381087,59.612732,54.65167,0.99218464,3.828598,1.7238132,12.230551,3.0
133566,13566,14.582315,0.20491582,0.8569761,8.608361,0.457516,70.21932,273.30707,0.9911499,3.2115011,0.3801436,9.328497,6.0
69580,9580,7.693451,1.5179073,0.37589958,4.2957425,0.21810056,19.553738,239.2769,0.99751145,2.843146,1.9179014,13.131248,4.0
69066,9066,7.266663,1.1411707,0.78103685,2.2266042,0.4546285,29.442955,219.91995,0.9924,3.0848238,1.3520893,11.145198,4.0
84783,24783,9.277387,0.54790145,0.34715244,9.614901,0.18911135,33.394524,87.241585,0.99890995,3.3187788,1.2590262,10.696874,5.0
153309,33309,13.256217,1.5057063,0.6170806,11.989616,0.26972386,6.7342896,25.082588,0.99988645,3.7331018,1.6410565,14.21215,3.0
31647,31647,10.930814,0.5465046,0.73442733,11.555722,0.13969158,35.08174,192.32,0.9995925,3.056413,0.7535116,10.150808,6.0
88939,28939,12.808931,0.9374061,0.49089575,13.4679985,0.1427741,34.10223,81.92597,0.9994233,3.259544,0.8383914,11.708892,3.0
164686,44686,10.411178,0.9926275,0.66581774,9.548852,0.3062128,8.639945,71.42379,1.0013103,3.619359,1.1484638,13.618816,5.0
38793,38793,12.66122,0.8654223,0.6323745,7.827599,0.24387792,23.627766,244.14194,0.9991761,3.4547784,0.87844086,12.211149,8.0
39784,39784,11.298099,0.4124118,0.6785274,13.557907,0.332283,63.77833,221.28523,0.99533737,2.899664,0.603567,9.238188,6.0
115980,55980,9.998989,0.43325907,0.483101,8.248412,0.43600258,50.423992,124.895256,0.9952792,3.3645282,0.7848462,10.838189,6.0
101202,41202,12.700829,0.37022462,0.75470746,9.535172,0.25126243,46.038593,214.58475,0.9957507,3.218117,0.4664867,9.178603,4.0
1600,1600,9.229178,1.4364328,0.91399133,6.0680594,0.2835824,11.825126,180.22278,0.9991779,2.9854848,1.4064466,12.367799,4.0
77470,17470,12.326803,1.4806604,0.614542,3.9783092,0.1558553,9.980092,224.63304,1.0010686,3.1085696,1.2480505,13.80945,4.0
59374,59374,9.534157,0.76681596,0.251916,6.9182563,0.35828805,37.124866,93.704285,0.99843884,3.2330182,1.2393788,12.772243,3.0
147073,27073,8.761869,0.20014513,0.6330351,7.743073,0.48466173,48.158104,232.60722,0.99367446,3.5525908,0.50983274,9.572563,5.0
20301,20301,10.297679,1.0099698,0.8187626,6.679402,0.43410665,56.90542,228.41135,0.9934026,2.8427052,1.0549054,11.356519,4.0
44324,44324,8.489542,0.8878441,0.28990167,10.98894,0.4070058,46.558628,95.80904,0.9933435,3.3882382,1.4203421,11.919071,7.0
134546,14546,9.725962,1.1704221,0.37248102,7.4770236,0.1391844,15.069098,90.09821,1.0001471,3.0453403,1.5060614,12.073678,4.0
54960,54960,7.7475095,1.0202037,0.9848482,1.5599254,0.575717,9.504792,182.36374,0.99460393,3.868999,1.2149539,9.26317,4.0
52873,52873,9.97984,1.1203973,0.653328,8.802142,0.20683962,26.44503,129.24742,0.9996332,3.3380644,0.83367187,11.26937,6.0
124666,4666,9.253396,1.307239,0.13246024,5.06521,0.32191834,51.009403,160.51614,0.9959701,3.2338188,1.8217902,13.769148,8.0
5091,5091,6.2873526,0.26881248,0.11286886,10.139639,0.31965095,49.07433,124.264626,0.9961852,3.376511,1.1635362,10.829353,7.0
2997,2997,9.737572,0.28123108,0.50742257,10.81793,0.49806997,60.804222,163.82002,0.9937016,3.0884552,0.9948908,11.514447,6.0
178626,58626,10.499582,0.62377554,0.29915485,8.685862,0.21968555,46.46369,123.25419,0.9967996,3.0527759,1.16043,11.658179,4.0
147355,27355,11.622186,1.0105039,0.34849936,6.9873247,0.23593076,49.693275,190.4976,0.9972793,2.8589938,1.1920063,12.59505,4.0
26559,26559,10.0859995,0.41441017,0.21794268,12.838461,0.14399207,30.594147,228.72987,1.0002291,2.8770373,0.7659127,11.194134,7.0
